id,contract_number,card_type,plastic_status,virtual_status,credit_limit,sempli_score,workflow_id,workflow_type,status,rejection_reason,created_at,acquisition_channel,company_type,business_dni_type,business_website,employees_range,business_foundation_year,economic_activity,city,department,bureau_type,bureau_mean_age,bureau_score,banked_type1,banked_type2,hard_credit_check,number_saving_accounts,number_saving_accounts_alert,bureau_debt,bureau_debt_default,number_current_loans,number_current_loans_default,max_vector_24m,current_vector,max_vector_3m,max_vector_6m,max_vector_12m,sherlock_anomaly,sherlock_distrust,sherlock_operator,sherlock_line_start_date,sherlock_line_state,sherlock_reactivate,sherlock_banked,sherlock_collection,sherlock_collection_perc,sherlock_collection_no_telcos_perc,emailage_ipaddress,emailage_ipcity,emailage_ipcountry,emailage_ipregion,emailage_eascore,credit_study_income,onboarding_income,dian_income,lc_judicial_proceedings_against,number_shareholders,tier,os,economic_activity_description,economic_activity_group,number_employees,mora_ultimos_6meses,moroso
61,35,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,5000,,172,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 14:10:27,EVENTS,,CC,,,,,Itagüí,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,0
39,17,BUSINESS,ACTIVE,ACTIVE,30000,,146,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-10 8:54:42,INTERNET,SAS,NIT,,,,,Envigado,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0,0
15,5,PROFESSIONAL,REPLACED,REPLACED,30000,,88,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 22:25:57,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
44,21,BUSINESS,CANCELED,CANCELED,10000,,151,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-10 15:35:16,COMMERCIAL_ALLY,SAS,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,102,1
22,9,BUSINESS,PENDING_ACTIVATION,ACTIVE,30000,,103,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-23 16:26:57,INTERNET,SAS,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,0,0
8,1,PROFESSIONAL,LOST,LOST,30000,,81,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 19:35:18,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
53,31,PROFESSIONAL,ACTIVE,ACTIVE,10000,,163,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:15:10,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
25,12,PROFESSIONAL,LOST,LOST,10000,,109,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-26 8:13:28,COMMUNICATION_MEDIA,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
31,14,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,30000,,112,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-26 11:05:18,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0
23,15,PROFESSIONAL,ACTIVE,ACTIVE,20000,,104,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-24 11:59:57,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
33,16,PROFESSIONAL,ACTIVE,ACTIVE,20000,,114,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-26 11:36:17,SOCIAL_NETWORKS,,CC,,,,,Sabaneta,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
20,8,PROFESSIONAL,ACTIVE,ACTIVE,20000,,101,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-23 15:33:47,INTERNET,,CC,,,,,Bogotá D.C.,"Bogotá, d. c.",experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
50,27,PROFESSIONAL,ACTIVE,ACTIVE,5000,,160,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:00:56,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
43,22,PROFESSIONAL,ACTIVE,ACTIVE,2000,,150,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-10 14:06:12,FRIEND_OR_COLLEAGUE,,CC,,,,,Sabaneta,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
18,10,BUSINESS,ACTIVE,ACTIVE,30000,,99,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-23 11:56:18,INTERNET,SA,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,16,1
12,4,PROFESSIONAL,ACTIVE,ACTIVE,30000,,85,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 21:58:21,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
45,24,PROFESSIONAL,ACTIVE,ACTIVE,30000,,154,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-16 11:16:21,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17,1
47,25,PROFESSIONAL,ACTIVE,ACTIVE,20000,,155,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-17 10:58:14,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
36,23,PROFESSIONAL,ACTIVE,ACTIVE,30000,,152,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-09 21:15:42,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
11,2,PROFESSIONAL,ACTIVE,ACTIVE,20000,,84,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 21:38:45,INTERNET,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
40,19,BUSINESS,ACTIVE,ACTIVE,20000,,147,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-10 10:19:54,FRIEND_OR_COLLEAGUE,SAS,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,5,0
34,18,PROFESSIONAL,ACTIVE,ACTIVE,30000,,142,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-09 11:38:52,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
52,41,PROFESSIONAL,ACTIVE,ACTIVE,5000,,161,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:10:52,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
58,33,PROFESSIONAL,ACTIVE,ACTIVE,5000,,169,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:56:45,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
55,36,PROFESSIONAL,ACTIVE,ACTIVE,5000,,166,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:25:04,INTERNET,,CC,,,,,Envigado,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
10,3,PROFESSIONAL,LOST,LOST,30000,,83,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 21:36:26,INTERNET,,CC,,,,,Retiro,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
57,32,PROFESSIONAL,ACTIVE,ACTIVE,5000,,168,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:29:39,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
48,26,PROFESSIONAL,ACTIVE,ACTIVE,15000,,156,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-20 16:33:37,FRIEND_OR_COLLEAGUE,,CC,,,,,Caldas,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
42,20,BUSINESS,REPLACED,REPLACED,20000,,149,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-10 10:59:24,FRIEND_OR_COLLEAGUE,SAS,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,0,0
59,37,PROFESSIONAL,ACTIVE,ACTIVE,5000,,170,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 11:33:27,SOCIAL_NETWORKS,,CC,,,,,Itagüí,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
19,7,PROFESSIONAL,CANCELED,CANCELED,5000,,100,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-23 15:29:56,FRIEND_OR_COLLEAGUE,,CC,,,,,Envigado,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
79,74,PROFESSIONAL,ACTIVE,ACTIVE,10000,,201,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 13:08:35,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0
75,49,PROFESSIONAL,ACTIVE,ACTIVE,20000,,187,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-01 11:32:39,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,33,1
51,38,PROFESSIONAL,ACTIVE,ACTIVE,10000,,162,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:10:02,FRIEND_OR_COLLEAGUE,,CC,,,,,Envigado,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,4,0
69,42,PROFESSIONAL,ACTIVE,ACTIVE,5000,,180,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-23 11:36:44,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
