contract_number;card_type;plastic_status;virtual_status;credit_limit;workflow_type;created_at;acquisition_channel;company_type;business_dni_type;business_website;business_foundation_year;city;department;bureau_score;banked_type1;banked_type2;hard_credit_check;number_saving_accounts;number_saving_accounts_alert;bureau_debt;bureau_debt_default;number_current_loans;number_current_loans_default;sherlock_anomaly;sherlock_distrust;sherlock_operator;sherlock_reactivate;sherlock_banked;sherlock_collection;emailage_eascore;lc_judicial_proceedings_against;number_shareholders;os;economic_activity_group;number_employees;mora_ultimos_6meses
17;BUSINESS;ACTIVE;ACTIVE;30000000;FAMILY_AND_FRIENDS;10/09/2021 8:54;INTERNET;SAS;NIT;no tiene;2014;Envigado;Antioquia;531;1;1;2;3;0;0;0;0;0;0.65;0.48;claro;FALSE;0;0;746;0;3;Windows;SERVICIOS;67;0
21;BUSINESS;CANCELED;CANCELED;10000000;FAMILY_AND_FRIENDS;10/09/2021 15:35;COMMERCIAL_ALLY;SAS;NIT;no tiene;2014;Medellín;Antioquia;674;0;0;2;2;0;0;0;0;0;0.34;0.32;claro;FALSE;0;0;580;0;6;Windows;SERVICIOS;42;102
9;BUSINESS;PENDING_ACTIVATION;ACTIVE;30000000;FAMILY_AND_FRIENDS;23/07/2021 16:26;INTERNET;SAS;NIT;no tiene;2014;Medellín;Antioquia;669;1;1;3;3;0;0;0;0;0;0.36;0.47;claro;FALSE;0;0;694;0;4;Windows;SERVICIOS;48;0
10;BUSINESS;ACTIVE;ACTIVE;30000000;FAMILY_AND_FRIENDS;23/07/2021 11:56;INTERNET;SA;NIT;no tiene;2014;Medellín;Antioquia;764;0;0;3;1;0;0;0;0;0;0.57;0.38;claro;FALSE;0;0;409;0;2;Windows;SERVICIOS;33;16
19;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;10/09/2021 10:19;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Medellín;Antioquia;660;1;1;3;2;0;0;0;0;0;0.7;0.62;claro;FALSE;0;0;385;0;2;Windows;SERVICIOS;80;5
20;BUSINESS;REPLACED;REPLACED;20000000;FAMILY_AND_FRIENDS;10/09/2021 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Medellín;Antioquia;633;1;1;2;3;0;0;0;0;0;0.57;0.59;claro;FALSE;0;0;706;0;3;Windows;SERVICIOS;36;0
50;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;1/10/2021 18:13;SOCIAL_NETWORKS;SAS;NIT;no tiene;2015;Bogotá;Bogotá;630;1;1;3;1;0;0;0;0;0;0.38;0.51;claro;FALSE;0;0;621;0;2;Windows;SERVICIOS;62;0
71;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;12/10/2021 18:34;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;800;1;1;2;3;0;0;0;0;0;0.63;0.46;claro;FALSE;0;0;575;0;2;Windows;SERVICIOS;32;0
52;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;7/10/2021 13:49;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;682;1;1;3;2;0;0;0;0;0;0.67;0.47;claro;FALSE;0;0;430;0;1;Windows;SERVICIOS;16;0
68;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;11/10/2021 16:09;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Envigado;Antioquia;753;1;1;2;2;0;0;0;0;0;0.41;0.6;claro;FALSE;0;0;414;0;1;Windows;SERVICIOS;53;0
223;BUSINESS;SECURITY_LOCKED;SECURITY_LOCKED;5000000;FAMILY_AND_FRIENDS;17/11/2021 16:20;INTERNET;SAS;NIT;tiene;2017;Medellín;Antioquia;618;1;1;1;1;0;0;0;0;0;0.5;0.74;claro;FALSE;0;0;649;0;1;Windows;SERVICIOS;11;0
81;BUSINESS;ACTIVE;ACTIVE;30000000;FAMILY_AND_FRIENDS;13/10/2021 10:13;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;702;1;1;2;1;0;0;0;0;0;0.39;0.63;claro;FALSE;0;0;356;0;4;Windows;SERVICIOS;22;13
79;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;13/10/2021 13:13;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Bogotá;Bogotá;578;1;1;2;2;0;0;0;0;0;0.61;0.72;claro;FALSE;0;0;269;0;1;Windows;SERVICIOS;55;3
80;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;14/10/2021 18:51;SOCIAL_NETWORKS;LTDA;NIT;no tiene;2015;Soledad;Atlántico;740;1;1;1;2;0;0;0;0;0;0.46;0.54;claro;FALSE;0;0;554;0;2;Windows;SERVICIOS;12;1
20;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;10/09/2021 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;791;1;1;3;3;0;0;0;0;0;0.56;0.35;claro;FALSE;0;0;508;0;3;Windows;SERVICIOS;66;0
102;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;26/10/2021 9:35;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Bogotá;Bogotá;811;1;1;2;1;0;0;0;0;0;0.48;0.74;claro;FALSE;0;0;418;0;1;Windows;SERVICIOS;69;1
99;BUSINESS;CANCELED;CANCELED;10000000;FAMILY_AND_FRIENDS;25/10/2021 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;696;1;1;1;1;0;0;0;0;0;0.44;0.74;claro;FALSE;0;0;482;0;2;Windows;SERVICIOS;33;0
92;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;20/10/2021 22:30;SOCIAL_NETWORKS;SAS;NIT;no tiene;2015;Bogotá;Bogotá;654;1;1;1;3;0;0;0;0;0;0.42;0.45;claro;FALSE;0;0;276;0;1;Windows;SERVICIOS;12;0
