contract_number;card_type;plastic_status;virtual_status;credit_limit;workflow_type;created_at;acquisition_channel;company_type;business_dni_type;business_website;business_foundation_year;city;department;bureau_score;banked_type1;banked_type2;hard_credit_check;number_saving_accounts;number_saving_accounts_alert;bureau_debt;bureau_debt_default;number_current_loans;number_current_loans_default;sherlock_anomaly;sherlock_distrust;sherlock_operator;sherlock_reactivate;sherlock_banked;sherlock_collection;emailage_eascore;lc_judicial_proceedings_against;number_shareholders;os;economic_activity_group;number_employees;mora_ultimos_6meses;moroso
17;BUSINESS;ACTIVE;ACTIVE;30000000;FAMILY_AND_FRIENDS;10/09/21 8:54;INTERNET;SAS;NIT;no tiene;2014;Envigado;Antioquia;531;1;1;2;3;0;0;0;0;0;0.65;0.48;claro;FALSE;0;0;746;0;3;Windows;SERVICIOS;67;0;0
21;BUSINESS;CANCELED;CANCELED;10000000;FAMILY_AND_FRIENDS;10/09/21 15:35;COMMERCIAL_ALLY;SAS;NIT;no tiene;2014;Medellín;Antioquia;674;0;0;2;2;0;0;0;0;0;0.34;0.32;claro;FALSE;0;0;580;0;6;Windows;SERVICIOS;42;102;1
9;BUSINESS;PENDING_ACTIVATION;ACTIVE;30000000;FAMILY_AND_FRIENDS;23/07/21 16:26;INTERNET;SAS;NIT;no tiene;2014;Medellín;Antioquia;669;1;1;3;3;0;0;0;0;0;0.36;0.47;claro;FALSE;0;0;694;0;4;Windows;SERVICIOS;48;0;0
10;BUSINESS;ACTIVE;ACTIVE;30000000;FAMILY_AND_FRIENDS;23/07/21 11:56;INTERNET;SA;NIT;no tiene;2014;Medellín;Antioquia;764;0;0;3;1;0;0;0;0;0;0.57;0.38;claro;FALSE;0;0;409;0;2;Windows;SERVICIOS;33;16;1
19;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;10/09/21 10:19;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Medellín;Antioquia;660;1;1;3;2;0;0;0;0;0;0.7;0.62;claro;FALSE;0;0;385;0;2;Windows;SERVICIOS;80;5;0
20;BUSINESS;REPLACED;REPLACED;20000000;FAMILY_AND_FRIENDS;10/09/21 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Medellín;Antioquia;633;1;1;2;3;0;0;0;0;0;0.57;0.59;claro;FALSE;0;0;706;0;3;Windows;SERVICIOS;36;0;0
50;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;1/10/21 18:13;SOCIAL_NETWORKS;SAS;NIT;no tiene;2015;Bogotá;Bogotá;630;1;1;3;1;0;0;0;0;0;0.38;0.51;claro;FALSE;0;0;621;0;2;Windows;SERVICIOS;62;0;0
71;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;12/10/21 18:34;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;800;1;1;2;3;0;0;0;0;0;0.63;0.46;claro;FALSE;0;0;575;0;2;Windows;SERVICIOS;32;0;0
52;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;7/10/21 13:49;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;682;1;1;3;2;0;0;0;0;0;0.67;0.47;claro;FALSE;0;0;430;0;1;Windows;SERVICIOS;16;0;0
68;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;11/10/21 16:09;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Envigado;Antioquia;753;1;1;2;2;0;0;0;0;0;0.41;0.6;claro;FALSE;0;0;414;0;1;Windows;SERVICIOS;53;0;0
